page_id,url,title,page_type,category,avg_views,avg_edits,words,creation_year,description
8786,en.wikipedia.org/wiki/David_Bowie,David_Bowie,biography,"arts, culture and entertainment",624384,68,15020,2001,"British singer, musician, and actor (1947-2016)"
1225919,en.wikipedia.org/wiki/Bruce_Kingsbury,Bruce_Kingsbury,biography,history and geography,159821,2,2100,2004,"Australian soldier, recipient of the Victoria Cross"
1080083,en.wikipedia.org/wiki/List_of_stock_market_crashes_and_bear_markets,List_of_stock_market_crashes_and_bear_markets,other,history and geography,129760,4,12,2004,Wikimedia list article
2696619,en.wikipedia.org/wiki/Web_scraping,Web_scraping,other,internet and game,912691,6,2488,2005,data scraping used for extracting data from websites
3133353,en.wikipedia.org/wiki/Steven_Avery,Steven_Avery,biography,history and geography,274547,18,2791,2005,American man convicted of murder and previously wrongly convicted of rape
43159611,en.wikipedia.org/wiki/The_Revenant_(2015_film),The_Revenant_(2015_film),other,"arts, culture and entertainment",418483,48,4687,2014,2015 film directed by Alejandro González Iñárritu
39879,en.wikipedia.org/wiki/Alan_Rickman,Alan_Rickman,biography,"arts, culture and entertainment",356311,25,3207,2002,"English film, television and stage actor, graphic designer (1946-2016)"
14723194,en.wikipedia.org/wiki/Star_Wars:_The_Force_Awakens,Star_Wars:_The_Force_Awakens,other,"arts, culture and entertainment",709032,76,9230,2006,2015 American epic space opera film directed by J. J. Abrams
42652013,en.wikipedia.org/wiki/XHamster,XHamster,other,internet and game,3804613,10,5404,2014,pornographic video hosting service
48863911,en.wikipedia.org/wiki/Making_a_Murderer,Making_a_Murderer,other,"arts, culture and entertainment",184547,13,2565,2015,2015 American true crime documentary series directed by Laura Ricciardi and Moira Demos
15881,en.wikipedia.org/wiki/Java_(programming_language),Java_(programming_language),other,"arts, culture and entertainment",452608,15,4156,2001,object-oriented programming language
52742228,en.wikipedia.org/wiki/Deaths_in_2016,Deaths_in_2016,other,"arts, culture and entertainment",629327,0,35,2017,Wikimedia list article
223632,en.wikipedia.org/wiki/Iman_(model),Iman_(model),biography,"arts, culture and entertainment",128518,8,1367,2003,Somali supermodel and entrepreneur
43740321,en.wikipedia.org/wiki/Royal_Rumble_(2016),Royal_Rumble_(2016),other,"arts, culture and entertainment",84391,29,3271,2014,2016 professional wrestling pay-per-view event
18070782,en.wikipedia.org/wiki/ITC_Hotels,ITC_Hotels,other,history and geography,55937,2,234,2008,Indian hotel chain
26678,en.wikipedia.org/wiki/Star_Wars,Star_Wars,other,"arts, culture and entertainment",836646,67,6299,2001,epic science fantasy space opera saga and media franchise
52711,en.wikipedia.org/wiki/Leonardo_DiCaprio,Leonardo_DiCaprio,biography,"arts, culture and entertainment",678606,25,8031,2002,American actor and film producer
1363708,en.wikipedia.org/wiki/Duncan_Jones,Duncan_Jones,biography,"arts, culture and entertainment",102118,5,953,2005,British film director
4848272,en.wikipedia.org/wiki/Donald_Trump,Donald_Trump,biography,history and geography,6320111,389,17407,2004,45th president of the United States
539887,en.wikipedia.org/wiki/Hugh_Glass,Hugh_Glass,biography,other,156610,13,1499,2004,American fur trapper and frontiersman
536880,en.wikipedia.org/wiki/Glenn_Frey,Glenn_Frey,biography,"arts, culture and entertainment",145513,11,2037,2004,American musician and actor (1948-2016)
59892,en.wikipedia.org/wiki/List_of_highest-grossing_films,List_of_highest-grossing_films,other,"arts, culture and entertainment",987768,120,5339,2002,Wikimedia list article
43308964,en.wikipedia.org/wiki/The_Hateful_Eight,The_Hateful_Eight,other,"arts, culture and entertainment",237136,30,4488,2014,2015 film by Quentin Tarantino
24831215,en.wikipedia.org/wiki/Zika_virus,Zika_virus,other,STEM,158386,33,2906,2009,species of virus
9521131,en.wikipedia.org/wiki/Cam_Newton,Cam_Newton,biography,sport,209356,51,8170,2007,"American football player, quarterback, Heisman Trophy winner"
11272657,en.wikipedia.org/wiki/Nuclear_program_of_Saudi_Arabia,Nuclear_program_of_Saudi_Arabia,other,STEM,33080,2,2507,2007,overview about the nuclear program of Saudi Arabia
1171509,en.wikipedia.org/wiki/Xerostomia,Xerostomia,other,STEM,46026,2,1903,2004,mouth dryness
45448178,en.wikipedia.org/wiki/Airlift_(film),Airlift_(film),other,"arts, culture and entertainment",92398,14,2352,2015,2016 Hindi film directed by Raja Krishna Menon
45051881,en.wikipedia.org/wiki/The_Big_Short_(film),The_Big_Short_(film),other,"arts, culture and entertainment",238084,16,2613,2015,2015 American biographical comedy-drama film directed by Adam McKay
51109457,"en.wikipedia.org/wiki/Martin_Luther_King,_Jr.","Martin_Luther_King,_Jr.",other,"arts, culture and entertainment",134561,0,17542,2016,
53266713,en.wikipedia.org/wiki/Joaquín_Guzmán,Joaquín_Guzmán,other,"arts, culture and entertainment",108716,0,11178,2017,
161570,en.wikipedia.org/wiki/Pablo_Escobar,Pablo_Escobar,biography,history and geography,932725,27,4668,2002,Colombian drug lord (1949-1993)
44425370,en.wikipedia.org/wiki/Room_(2015_film),Room_(2015_film),other,"arts, culture and entertainment",222808,15,2712,2014,2015 British-American-Canadian-Irish drama film by Lenny Abrahamson
361176,en.wikipedia.org/wiki/Bernie_Sanders,Bernie_Sanders,biography,history and geography,534494,83,12839,2003,American politician
2145410,en.wikipedia.org/wiki/List_of_Super_Bowl_champions,List_of_Super_Bowl_champions,other,sport,459731,12,899,2005,Wikimedia list article
429833,en.wikipedia.org/wiki/Peyton_Manning,Peyton_Manning,biography,sport,298948,33,13210,2004,American football quarterback
44953417,en.wikipedia.org/wiki/List_of_Bollywood_films_of_2016,List_of_Bollywood_films_of_2016,other,"arts, culture and entertainment",379652,28,79,2015,Wikimedia list article
423882,en.wikipedia.org/wiki/Natalie_Cole,Natalie_Cole,biography,"arts, culture and entertainment",90619,11,2512,2004,American singer and songwriter
59348,en.wikipedia.org/wiki/Question_mark,Question_mark,other,"arts, culture and entertainment",102607,10,1971,2002,typographic character indicating a question
46392016,en.wikipedia.org/wiki/88th_Academy_Awards,88th_Academy_Awards,other,"arts, culture and entertainment",141349,33,2729,2015,Award ceremony presented by the Academy of Motion Picture Arts & Sciences for achievement in filmmaking in 2015
203407,en.wikipedia.org/wiki/Celine_Dion,Celine_Dion,biography,"arts, culture and entertainment",292257,12,11394,2002,French Canadian singer (* 1968)
42968661,en.wikipedia.org/wiki/Super_Bowl_50,Super_Bowl_50,other,sport,155141,32,6865,2006,2016 Edition of the Super Bowl
36044408,en.wikipedia.org/wiki/Adam_Driver,Adam_Driver,biography,"arts, culture and entertainment",344722,28,1867,2012,American actor
163169,en.wikipedia.org/wiki/Eazy-E,Eazy-E,biography,"arts, culture and entertainment",393757,9,2092,2002,American rapper
